titulo;descricao;imagem
Gabriel, da Casa de Vidro, conta como conheceu Anitta e relata situação inusitada: 'Dia mais legal da minha vida';Brothers perguntam como Gabriel conheceu a cantora e o modelo explica a situação que viveu com a artista;https://s2.glbimg.com/JQ1qQWpzmJcLUMWPjk6mVr0ILcg=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/53/89/11268953
"Anitta fez xixi no braço de amigo de Gabriel, da Casa de Vidro do BBB 23; entenda";Em papo com gshow, amigo de Gabriel dá detalhes da história inusitada que a cantora contou para Kelly Clarkson em talk show americano: 'Sou eternamente grato';https://s2.glbimg.com/WmllaHFVfEZqmIYXV4B6hDHKjxs=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/P/F/FCMuoZSy2BnbVyiSZioA/bbb-23-gabriel-anitta-creditos-reproducao-instagram.jpg
Ex-BBB Papito dá conselho para os participantes da Casa de Vidro ;Ayrton Lima conversa com os candidatos ao BBB 23 no meio da multidão;https://s2.glbimg.com/WmrMTv3aDqTXGgU1bbPkUV6Yk2g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/04/89/11268904
Participantes da Casa de Vidro e o público cantam música-tema do Big Brother Brasil;A multidão canta 'Vida Real', de Paulo Ricardo, e emociona Paula ;https://s2.glbimg.com/0x2zx9ipTyDXbLI3YGQWuoev4xg=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/37/91/11269137
Participantes da Casa de Vidro do BBB 23 recebem visita de porca ;Os candidatos ficaram empolgados com a presença do animal na Casa de Vidro;https://s2.glbimg.com/2ZTpqxYJ5vO-WrmF6EfgW6znAgQ=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/26/90/11269026
Giovanna, da Casa de Vidro, comenta com quem deseja entrar no BBB 23;Quarteto da Casa de Vidro do BBB 23 disputa duas vagas na casa, Giovanna conta com quem gostaria de entrar no programa, confira!;https://s2.glbimg.com/FHG3qEi6oioPcQGrxIVRGG6lRBk=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/R/9/6mdoF6QxuXzWRACwTJ1Q/6ff2167a-65ca-4687-a09c-e2fa4b009dc9.jfif
Brunna Gonçalves, Larissa Tomásia e mais: veja famosos e figuras que visitaram a Casa de Vidro do BBB 23;Dinâmica do Big Brother Brasil conta com confinados em um shopping no Rio de Janeiro e teve início nesta terça, 10/1;https://s2.glbimg.com/-FYNaCH4p35Q_1XrI6zmTAuKSAY=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/h/7/UN7ZggQoWMhZ42VA3rwQ/larissa-brunna-ayrton.jpg
Votação da Casa de Vidro está aberta: quem deve entrar no BBB 23?;Vote! Giovanna, Paula, Gabriel e Manoel disputam duas vagas para entrar na casa mais vigiada do Brasil;https://s2.glbimg.com/qn4fmgZ3HF4Xb_f4eTRv6TUIt1Y=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/T/f/MC5KX0Ru2FIAZvqwB6pg/casa-de-vidro-bbb-23giovanna-paula-manoel-gabriel.jpg
Participantes da Casa de Vidro explicam por que devem entrar no BBB 23;Gabriel, Giovanna, Manoel e Paula conversam ao vivo com Tadeu Schmidt ;https://s2.glbimg.com/SCFS-Allw58sSqRzzIMjHaN3rdA=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/Z/9/bc5mhoS061jAoP8KuBYg/78135a8c-3912-4d83-b516-3357cdc2a471.jfif
Manoel, da Casa de Vidro, se declara para o namorado;Raphael Piza saiu de Cuiabá nesta terça (10) para apoiar o psiquiatra;https://s2.glbimg.com/Np95UZnaw7lVoD-p_hDN9CgCnXo=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/A/o/JzBY0ISYa6P0vmmn41rw/whatsapp-image-2023-01-10-at-21.12.43.jpeg
Manoel, da Casa de Vidro, faz alerta a Paula sobre o jogo do BBB 23;Os dois falam sobre o jogo caso entrem na casa mais vigiada do Brasil;https://s2.glbimg.com/NX8CEQ6RLIlgj0P_Za6nbZkpqGA=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/04/95/11269504
Manoel, da Casa de Vidro, conta quem gostaria de ver no Camarote do BBB 23 ;Candidato a brother diz nome de famoso que gostaria de ver na 23ª edição do reality show;https://s2.glbimg.com/rDA_g21d1ihR8UP64Qgs6zvSP9g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/20/95/11269520
Manoel, da Casa de Vidro, explica um dos porquês se candidatou ao BBB 23;Candidato a uma vaga no reality explicou seu objetivo durante conversa com os confinados;https://s2.glbimg.com/JT4uYdmwajK4hFJ5zpJ45Exs6ps=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/18/94/11269418
Giovanna, da Casa de Vidro, comenta com quem deseja entrar no BBB 23;Quarteto da Casa de Vidro do BBB 23 disputa duas vagas na casa mais vigiada do Brasil;https://s2.glbimg.com/zCvoEK7HIVDoRCOO-kE2j87XAlU=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/96/92/11269296
Manoel, da Casa de Vidro, se declara para o namorado;Raphael Piza saiu de Cuiabá nesta terça, 10/1, para apoiar o psiquiatra;https://s2.glbimg.com/Np95UZnaw7lVoD-p_hDN9CgCnXo=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/A/o/JzBY0ISYa6P0vmmn41rw/whatsapp-image-2023-01-10-at-21.12.43.jpeg
Participantes da Casa de Vidro recebem cooler e comemoram;Além do cooler de bebida, os quatro participantes da Casa de Vidro recebem suas respectivas camisetas para pedirem votos;https://s2.glbimg.com/i3jDGXUzUsjpIhIaqvHX0kZGrek=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/z/x/Y5BNHBSSitvG3CyGGKqA/casa-de-vidro3.jpg
Participantes da Casa de Vidro explicam por que devem entrar no BBB 23;Gabriel, Giovanna, Manoel e Paula conversam ao vivo com Tadeu Schmidt ;https://s2.glbimg.com/Oe0NHDltfQL3c_Pl5HhdDiC3vdw=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/40/95/11269540
Manoel, da Casa de Vidro, se declara para o namorado;Raphael Piza saiu de Cuiabá nesta terça, 10/1, para apoiar o psiquiatra;https://s2.glbimg.com/VTv7oMAvCaehQtDaEWzI_LnqRKo=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/37/95/11269537
Participantes da Casa de Vidro brindam e pedem votos ao público;Os quatro participantes da Casa de Vidro também recebem camisetas com suas fotos;https://s2.glbimg.com/CBzDg4EiSCygNY1pIrPi-sZgJDg=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/g/g/S8FWMhSP27tmdV5k51PQ/participantes-casa-de-vidro-globo.jpeg
Participantes da Casa de Vidro brindam e pedem votos ao público;Os quatro candidatos ao BBB 23 também recebem camisetas com suas fotos;https://s2.glbimg.com/CBzDg4EiSCygNY1pIrPi-sZgJDg=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/g/g/S8FWMhSP27tmdV5k51PQ/participantes-casa-de-vidro-globo.jpeg
Participantes da Casa de Vidro brindam e pedem votos ao público;Os quatro candidatos ao BBB 23 também recebem camisetas com suas fotos;https://s2.glbimg.com/IcCNkUvh2tat0Ry157cTLcGg8-0=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/83/95/11269583
"
Gabriel tira a camisa, e Paula faz revelação";Enquanto conversa com Manoel, Paula percebe que Gabriel está sem camisa e comenta sobre suas tatuagens;https://s2.glbimg.com/mlTijYqDU3pvNqm_XsQ5jbfQsRM=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/7/C/6nZtzkQjeCptewCyfDyw/casa-de-vidro5.jpg
Paula, da Casa de Vidro, revela história curiosa com aplicativo de relacionamento;A paraense se diverte ao contar o episódio para Gabriel e Manoel ;https://s2.glbimg.com/-y9gkRbX8CNoihwg4EBRtnda5oI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/U/V/j7AH6PRMAWVvQdybxP9g/paula-bbb-23-globo.jpeg
Casa do BBB 23: veja a primeira foto da academia;Boninho postou foto 'malhando' com Tadeu Schmidt ;https://s2.glbimg.com/pattk6TUZ4VRULAHVzgyX38Kvz4=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/d/h/9FaljjRPeZPZAzCALz9A/casa-academia-tadeu-bbb-23.jpg
"
Gabriel tira a camisa e Paula faz revelação: 'Homem tatuado é mais gostoso'";Enquanto conversa com Manoel, Paula percebe que Gabriel está sem camisa e comenta sobre suas tatuagens;https://s2.glbimg.com/3eQOvBpF-ZZGUDkqV2h4mGZcuQM=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/98/95/11269598
"
Gabriel tira a camisa e Paula faz revelação: 'Homem tatuado é mais gostoso'";Enquanto conversa com Manoel, Paula percebe que Gabriel está sem camisa e comenta sobre suas tatuagens na Casa de Vidro do BBB 23;https://s2.glbimg.com/3eQOvBpF-ZZGUDkqV2h4mGZcuQM=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/98/95/11269598
Gabriel explica por que não tirou a camisa quando o público pediu;Em conversa com Paula e Manoel, Gabriel explica o motivo de não ter atendido o pedido do público;https://s2.glbimg.com/-zClS1wLMLk4pAYcC2PwNxmaqzo=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/7/6/5FsGlOTc2AXiXHRBeJlg/casa-de-vidro6.jpg
Casa do BBB 23: veja a primeira foto da academia;Boninho postou foto 'malhando' ao lado do apresentador Tadeu Schmidt ;https://s2.glbimg.com/pattk6TUZ4VRULAHVzgyX38Kvz4=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/d/h/9FaljjRPeZPZAzCALz9A/casa-academia-tadeu-bbb-23.jpg
Paula, da Casa de Vidro, revela história curiosa com aplicativo de relacionamento;A paraense se diverte ao contar o episódio para Gabriel e Manoel ;https://s2.glbimg.com/Brq7Nq1jaQ8rYQRL1D6XmeSjVKw=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/02/96/11269602
Gabriel explica por que não tirou a camisa quando o público pediu;Em conversa com Paula e Manoel, o candidato ao BBB 23 explica o motivo de não ter atendido o pedido do público;https://s2.glbimg.com/ypZo-zbsIFT4TdnUCWaqXD4hy74=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/09/96/11269609
Quiz BBB 23: Descubra qual é o quarto de cada participante da Casa de Vidro;Faça o teste e conheça os cômodos dos candidatos que disputam uma vaga na nova edição do reality;https://s2.glbimg.com/qsSQ9LqpfoftCHs9VKbAY1yoI_I=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/2/B/BylmlSQa2A3RMviqc4uw/whatsapp-image-2023-01-10-at-10.41.28.jpeg
Casa de Vidro do BBB 23: famosos, familiares e visitas 'inesperadas' marcam o 1º dia;Participantes agitaram as redes sociais e receberam visitas na Casa de Vidro;https://s2.glbimg.com/WmrMTv3aDqTXGgU1bbPkUV6Yk2g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/04/89/11268904
Laís Caldas fica decepcionada com participante da Casa de Vidro do BBB 23;Ex-participante do BBB 22 desabafou nas redes sociais e ganhou conselho de Gil do Vigor;https://s2.glbimg.com/PRR_oouxF9xwC0NA6PZXSc5qM1k=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/w/I/B594p6TPOc2KyeAnxRsg/316832001-463030155938084-6811015979682755112-n.jpg
"Casa de Vidro do BBB 23 tem participante que é inferno astral de concorrente; conheça signos! ";Entenda o zodíaco dos concorrentes da dinâmica e veja quando eles fazem aniversário ;https://s2.glbimg.com/c-ms67FFJwlc747ChIzb0sts308=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/y/Q/rOzZLHSBeV5nANaLWtOg/manoel-giovanna-paula-e-gabriel-na-casa-de-vidro.jpg
Gabriel diz para Giovanna: 'Quem fala o que quer, escuta o que não quer';Os participantes conversam sobre a primeira noite na Casa de Vidro do BBB 23;https://s2.glbimg.com/pBcWiiyqngB3jNLuGb7IWNXLbD0=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/75/96/11269675
Giovanna, da Casa de Vidro, diz o que acha de Manoel: 'Uma bomba-relógio';"Os candidatos do BBB 23 conversam sobre suas impressões; confira!";https://s2.glbimg.com/ZGIwTj1BA-GRcxk0ENEeiAdkXYc=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/42/96/11269642
Veja fotos da infância dos participantes da Casa de Vidro do BBB 23;Abrimos o álbum de fotos dos concorrentes da dinâmica do Big Brother Brasil ;https://s2.glbimg.com/gkBQ_Akkub2spOu4RWNwsu0WBeI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/o/8/aeGnOPQOGWM3ATKHH4mg/casa-de-vidro-infancia.jpg
Participantes da Casa de Vidro do BBB 23 contam curiosidades de suas cidades;Paula, Gabriel e Manoel revelam como alguns alimentos são chamados em cada local ;https://s2.glbimg.com/QzbQSWoMaxG18OXqcdrqI98m0J8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/u/d/Bd6VqHTcATr6Ceawkdwg/participantescasadevidro.jpg
Participantes da Casa de Vidro do BBB 23 contam curiosidades de suas cidades;Paula, Gabriel, Giovanna e Manoel revelam como alguns alimentos são chamados em cada local ;https://s2.glbimg.com/QzbQSWoMaxG18OXqcdrqI98m0J8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/u/d/Bd6VqHTcATr6Ceawkdwg/participantescasadevidro.jpg
Participantes da Casa de Vidro do BBB 23 revelam como imaginavam entrada;Gabriel, Giovanna, Manoel e Paula contam emoção da chegada na dinâmica, que acontece em um shopping do Rio de Janeiro;https://s2.glbimg.com/d9CvHInOVGyU6Q3YGXZ17TA5crI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/o/N/Fbqz83QBaSjh6Ic8ZmdQ/bbb-23-manoel-creditos-globo.jpg
Casa de Vidro do BBB 23: candidatos contam curiosidades de suas cidades;Paula, Gabriel, Giovanna e Manoel revelam como alguns alimentos são chamados em cada local ;https://s2.glbimg.com/Sr37VoH0xDKgOXXUjohf1DqVj2A=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/29/98/11269829
Veja fotos da infância dos participantes da Casa de Vidro do BBB 23;Abrimos o álbum de fotos dos concorrentes da dinâmica do Big Brother Brasil ;https://s2.glbimg.com/gkBQ_Akkub2spOu4RWNwsu0WBeI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/o/8/aeGnOPQOGWM3ATKHH4mg/casa-de-vidro-infancia.jpg
Quiz BBB 23: Descubra qual é o quarto de cada participante da Casa de Vidro;Faça o teste e conheça os cômodos dos candidatos que disputam uma vaga na nova edição do reality;https://s2.glbimg.com/qsSQ9LqpfoftCHs9VKbAY1yoI_I=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/2/B/BylmlSQa2A3RMviqc4uw/whatsapp-image-2023-01-10-at-10.41.28.jpeg
Casa de Vidro do BBB 23: famosos, familiares e visitas 'inesperadas' marcam o 1º dia;Participantes agitaram as redes sociais e receberam visitas na Casa de Vidro;https://s2.glbimg.com/WmrMTv3aDqTXGgU1bbPkUV6Yk2g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/04/89/11268904
Laís Caldas fica decepcionada com participante da Casa de Vidro do BBB 23;Ex-participante do BBB 22 desabafou nas redes sociais e ganhou conselho de Gil do Vigor;https://s2.glbimg.com/PRR_oouxF9xwC0NA6PZXSc5qM1k=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/w/I/B594p6TPOc2KyeAnxRsg/316832001-463030155938084-6811015979682755112-n.jpg
"Casa de Vidro do BBB 23 tem participante que é inferno astral de concorrente; conheça signos! ";Entenda o zodíaco dos concorrentes da dinâmica e veja quando eles fazem aniversário ;https://s2.glbimg.com/c-ms67FFJwlc747ChIzb0sts308=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/y/Q/rOzZLHSBeV5nANaLWtOg/manoel-giovanna-paula-e-gabriel-na-casa-de-vidro.jpg
Gabriel diz para Giovanna: 'Quem fala o que quer, escuta o que não quer';Os participantes conversam sobre a primeira noite na Casa de Vidro do BBB 23;https://s2.glbimg.com/pBcWiiyqngB3jNLuGb7IWNXLbD0=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/75/96/11269675
Giovanna, da Casa de Vidro, diz o que acha de Manoel: 'Uma bomba-relógio';"Os candidatos do BBB 23 conversam sobre suas impressões; confira!";https://s2.glbimg.com/ZGIwTj1BA-GRcxk0ENEeiAdkXYc=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/42/96/11269642
Gabriel explica por que não tirou a camisa quando o público pediu;Em conversa com Paula e Manoel, o candidato ao BBB 23 explica o motivo de não ter atendido o pedido do público;https://s2.glbimg.com/ypZo-zbsIFT4TdnUCWaqXD4hy74=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/09/96/11269609
Participantes da Casa de Vidro do BBB 23 revelam como imaginavam entrada;Gabriel, Giovanna, Manoel e Paula contam emoção da chegada na dinâmica, que acontece em um shopping do Rio de Janeiro;https://s2.glbimg.com/d9CvHInOVGyU6Q3YGXZ17TA5crI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/o/N/Fbqz83QBaSjh6Ic8ZmdQ/bbb-23-manoel-creditos-globo.jpg
Casa de Vidro do BBB 23: candidatos contam curiosidades de suas cidades;Paula, Gabriel, Giovanna e Manoel revelam como alguns alimentos são chamados em cada local ;https://s2.glbimg.com/Sr37VoH0xDKgOXXUjohf1DqVj2A=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/29/98/11269829
Veja fotos da infância dos participantes da Casa de Vidro do BBB 23;Abrimos o álbum de fotos dos concorrentes da dinâmica do Big Brother Brasil ;https://s2.glbimg.com/gkBQ_Akkub2spOu4RWNwsu0WBeI=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/o/8/aeGnOPQOGWM3ATKHH4mg/casa-de-vidro-infancia.jpg
Quiz BBB 23: Descubra qual é o quarto de cada participante da Casa de Vidro;Faça o teste e conheça os cômodos dos candidatos que disputam uma vaga na nova edição do reality;https://s2.glbimg.com/qsSQ9LqpfoftCHs9VKbAY1yoI_I=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/2/B/BylmlSQa2A3RMviqc4uw/whatsapp-image-2023-01-10-at-10.41.28.jpeg
Casa de Vidro do BBB 23: famosos, familiares e visitas 'inesperadas' marcam o 1º dia;Participantes agitaram as redes sociais e receberam visitas na Casa de Vidro;https://s2.glbimg.com/WmrMTv3aDqTXGgU1bbPkUV6Yk2g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/04/89/11268904
Laís Caldas fica decepcionada com participante da Casa de Vidro do BBB 23;Ex-participante do BBB 22 desabafou nas redes sociais e ganhou conselho de Gil do Vigor;https://s2.glbimg.com/PRR_oouxF9xwC0NA6PZXSc5qM1k=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/w/I/B594p6TPOc2KyeAnxRsg/316832001-463030155938084-6811015979682755112-n.jpg
"Casa de Vidro do BBB 23 tem participante que é inferno astral de concorrente; conheça signos! ";Entenda o zodíaco dos concorrentes da dinâmica e veja quando eles fazem aniversário ;https://s2.glbimg.com/c-ms67FFJwlc747ChIzb0sts308=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/y/Q/rOzZLHSBeV5nANaLWtOg/manoel-giovanna-paula-e-gabriel-na-casa-de-vidro.jpg
Gabriel diz para Giovanna: 'Quem fala o que quer, escuta o que não quer';Os participantes conversam sobre a primeira noite na Casa de Vidro do BBB 23;https://s2.glbimg.com/pBcWiiyqngB3jNLuGb7IWNXLbD0=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/75/96/11269675
Giovanna, da Casa de Vidro, diz o que acha de Manoel: 'Uma bomba-relógio';"Os candidatos do BBB 23 conversam sobre suas impressões; confira!";https://s2.glbimg.com/ZGIwTj1BA-GRcxk0ENEeiAdkXYc=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/42/96/11269642
